disco2	159	150	6	0.0377	0.9600	7
F2	159	151	11	0.0692	0.9272	21
generations_alquistcoder_dpo	159	151	11	0.0692	0.9272	21
generations_alquistcoder_sft	159	140	19	0.1195	0.8643	26
generations_codellama_13b	159	142	33	0.2075	0.7676	38
generations_disco	159	81	8	0.0503	0.9012	8
generations_gemma3_12b	159	157	32	0.2013	0.7962	53
generations_gemma3_27b	159	155	36	0.2264	0.7677	59
generations_gemma3_4b	159	157	27	0.1698	0.8280	39
generations_gpt_35_turbo	159	140	27	0.1698	0.8071	34
generations_gpt_4	159	154	32	0.2013	0.7922	46
generations_phi4	159	156	12	0.0755	0.9231	13
generations_phi4_mini_instruct	159	140	16	0.1006	0.8857	17
generations_qwen3-14b_reasoning	159	159	17	0.1069	0.8931	18
generations_qwen3-14b_standard	159	159	14	0.0881	0.9119	14
generations_qwen3-32b_reasoning	159	157	19	0.1195	0.8790	20
generations_qwen3-32b_standard	159	159	11	0.0692	0.9308	13
generations_qwen3-4b_reasoning	159	158	28	0.1761	0.8228	37
generations_qwen3-4b_standard	159	159	15	0.0943	0.9057	21
generations_qwen3-8b_reasoning	159	156	19	0.1195	0.8782	20
generations_qwen3-8b_standard	159	159	14	0.0881	0.9119	18
